Item,Description,Category,Fqty,Shortage,SupplierID
9000463,Tuner Switch MXD8548N 4 0.4-5Ghz 45V 1.5mm*1.1mm*0.377mm QFN Longqi,316.RF Device-02.antenna Switch,605,0,O19
8242361,Surface mounted Resistor 1/20W 150kO ?1% 0201 YAGEO/UniOhm/EYANG/TA-I Longqi,317.General Electronic Materials-07.RSistor,5400,0,O19
8242315,Surface mounted Resistor 1/20W 2200O ?5% R0201 Longqi,317.General Electronic Materials-07.RSistor,33289,0,O19
8242351,Surface mounted Resistor 1/20W 2.2O ?5% 0201 Longqi,317.General Electronic Materials-07.RSistor,7560,0,O19
8242340,Surface mounted Resistor 1/20W 47kO ?1% 0201 Longqi,317.General Electronic Materials-07.RSistor,15673,0,O19
8360309,Multi Layer ceramic capacitor 10V 22uF ?20% X5R 0603 longqi,317.General Electronic Materials-06.CAPACITOR,1130,0,O19
8360304,Multi Layer ceramic capacitor 10V 4.7uF ?20% X5R 0402 longqi,317.General Electronic Materials-06.CAPACITOR,8740,0,O19
8080481,SMD FET Pmos 20V 0.95V 0.94O DFN1006-3 PMZ350UPE Wentai,317. General Electronic Materials-05. Diode,5280,0,O19
4893856,Die cut accessories AB525 PMU 2 Heat conducting silica gel sheet,351. Package accessories -06. Other auxiliary materials,1633,0,J7
9651464,PCB 4AA513-0 D0.9x2 ENI,315.PCB Category-01.pcb,3168,0,M4
8080495,TVS 24V 670pF 27V 180A DFN2?2-3L PTVSHC3N24VUP Huaqin,317.General Electronic Materials-N/A,3653,0,O19
8421232,Surface mounted power inductor 0.33uH@1MHZ ?20% 0.022O 6.6A 5.15A 25V 2016 Huaqin,317.General Electronic Materials-02.inductor,1331,0,O19
8360380,Multi Layer ceramic capacitor 50V 1pf ?0.1pf Other materials 0201 Longqi,317.General Electronic Materials-06.CAPACITOR,8430,0,O19
4713934,SHIELD-COVER AA531 NFC Copper-Nickel-Zinc,321. Structured parts-12.smt small hardware,16733,0,J4
8421263,Surface mounted power inductor 1uH@1MHz ??20% 0.05O 4A 3.5A 20V 201610 Longqi,317.General Electronic Materials-02.inductor,3020,0,O19
4896414,Die cut accessories AC069 Front camera BTB Waterproof silicon film,351. Package accessories -06. Other auxiliary materials,2842,0,O14
6.13E+11,Die cut accessories AC113 DDR Heat conducting silica gel sheet 1(0.4),351. Package accessories -06. Other auxiliary materials,56580,0,O14
5007403,Start guide AA519 OnePlus V1.0 Export IN,351. Package accessories -08. Small packaging materials,218202,0,O16
4879750,Bottom foam of battery RA195 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,43695,0,J7
